objectid,creator,subject,location,latitude,longitude,date,identifier,title,description,image_alt_text,object_transcript,code_1,code_2,code_3,code_4,code_5,code_6,code_7,code_8,code_9,code_10,code_11,code_12,code_13,code_14,combined_codes,display_template,type,format,language,source,rights,rightsstatement,data_curation,project_administration,conceptualization,formal_analysis,methodology,object_location,image_small,image_thumb
8bee63f6-10db-4a4f-9132-7c55363b94c5,,,,,,,8bee63f6-10db-4a4f-9132-7c55363b94c5.jpg,284878403 700919664354619 2527670151902256688 n,,,,Community,RJ/TJ,Art,,,,,,,,,,,,Art; Community; RJ/TJ,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/8bee63f6-10db-4a4f-9132-7c55363b94c5.jpg,https://abnow.s3.amazonaws.com/objects/small/8bee63f6-10db-4a4f-9132-7c55363b94c5_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/8bee63f6-10db-4a4f-9132-7c55363b94c5_th.jpg
24f8fb10-154c-4c9f-8183-bab676a878e7,,,,,,,24f8fb10-154c-4c9f-8183-bab676a878e7.jpg,284886023 679121746521195 3500178662813383631 n,,,,Slogans,Mural,Germany,Humor,Art,,,,,,,,,,Art; Germany; Humor; Mural; Slogans,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/24f8fb10-154c-4c9f-8183-bab676a878e7.jpg,https://abnow.s3.amazonaws.com/objects/small/24f8fb10-154c-4c9f-8183-bab676a878e7_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/24f8fb10-154c-4c9f-8183-bab676a878e7_th.jpg
80d0314b-d94a-45be-988f-d4ac38ce5b15,,,,,,,80d0314b-d94a-45be-988f-d4ac38ce5b15.jpg,284971679 1016457852388365 1079509037461812961 n,,,,Police Imagery,Pigs,Infrastructure/Needs,Art,,,,,,,,,,,Art; Infrastructure/Needs; Pigs; Police Imagery,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/80d0314b-d94a-45be-988f-d4ac38ce5b15.jpg,https://abnow.s3.amazonaws.com/objects/small/80d0314b-d94a-45be-988f-d4ac38ce5b15_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/80d0314b-d94a-45be-988f-d4ac38ce5b15_th.jpg
8e78ef9f-8086-4aed-9397-ecf3ce158b58,,,,,,,8e78ef9f-8086-4aed-9397-ecf3ce158b58.jpg,285046694 705370587346380 584944701795163349 n,,,,Community,RJ/TJ,Art,,,,,,,,,,,,Art; Community; RJ/TJ,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/8e78ef9f-8086-4aed-9397-ecf3ce158b58.jpg,https://abnow.s3.amazonaws.com/objects/small/8e78ef9f-8086-4aed-9397-ecf3ce158b58_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/8e78ef9f-8086-4aed-9397-ecf3ce158b58_th.jpg
477fe65c-e5bf-4ebc-890f-eb15d2f29dd5,,,,,,,477fe65c-e5bf-4ebc-890f-eb15d2f29dd5.jpg,285136047 696951538045764 5119754398493099519 n,,,,Megaphone,Slogans,No Jails/Bail,Art,,,,,,,,,,,Art; Megaphone; No Jails/Bail; Slogans,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/477fe65c-e5bf-4ebc-890f-eb15d2f29dd5.jpg,https://abnow.s3.amazonaws.com/objects/small/477fe65c-e5bf-4ebc-890f-eb15d2f29dd5_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/477fe65c-e5bf-4ebc-890f-eb15d2f29dd5_th.jpg
9f05a6fd-e81a-41bf-bc43-aa940820f818,,,,,,,9f05a6fd-e81a-41bf-bc43-aa940820f818.jpg,285524748 2043927272458047 156149658850797069 n,,,,Knoxville,BLM,2020s,Anthony Thompson Jr,Police Violence,,,,,,,,,,2020s; Anthony Thompson Jr; BLM; Knoxville; Police Violence,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/9f05a6fd-e81a-41bf-bc43-aa940820f818.jpg,https://abnow.s3.amazonaws.com/objects/small/9f05a6fd-e81a-41bf-bc43-aa940820f818_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/9f05a6fd-e81a-41bf-bc43-aa940820f818_th.jpg
dcd9bd75-105d-43a5-b8a7-b84c19849aa9,,,,,,,dcd9bd75-105d-43a5-b8a7-b84c19849aa9.jpg,0411221114a,,,,Environment,Knoxville,Earth,Water,Birds,Butterflies,Mural,Elements,Art,,,,,,Art; Birds; Butterflies; Earth; Elements; Environment; Knoxville; Mural; Water,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/dcd9bd75-105d-43a5-b8a7-b84c19849aa9.jpg,https://abnow.s3.amazonaws.com/objects/small/dcd9bd75-105d-43a5-b8a7-b84c19849aa9_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/dcd9bd75-105d-43a5-b8a7-b84c19849aa9_th.jpg
13d1cf8e-4f5f-4d83-bfcb-c88122d6d895,,,,,,,13d1cf8e-4f5f-4d83-bfcb-c88122d6d895.jpg,430221142,,,,Knoxville,Community,,,,,,,,,,,,,Community; Knoxville,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/13d1cf8e-4f5f-4d83-bfcb-c88122d6d895.jpg,https://abnow.s3.amazonaws.com/objects/small/13d1cf8e-4f5f-4d83-bfcb-c88122d6d895_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/13d1cf8e-4f5f-4d83-bfcb-c88122d6d895_th.jpg
ee6234d9-43ae-4bd8-b9f6-53b69dec77a2,,,,,,,ee6234d9-43ae-4bd8-b9f6-53b69dec77a2.jpg,0619212003 HDR,,,,Protests/Marches,Knoxville,Community,Rainbows,2020s,Juneteenth,,,,,,,,,2020s; Community; Juneteenth; Knoxville; Protests/Marches; Rainbows,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/ee6234d9-43ae-4bd8-b9f6-53b69dec77a2.jpg,https://abnow.s3.amazonaws.com/objects/small/ee6234d9-43ae-4bd8-b9f6-53b69dec77a2_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/ee6234d9-43ae-4bd8-b9f6-53b69dec77a2_th.jpg
a466602a-85ca-46d9-a54b-3332ec749910,,,,,,,a466602a-85ca-46d9-a54b-3332ec749910.jpg,1005211235a,,,,Community,Barb Wire/Fences/Walls,Viv Swayne,Art,,,,,,,,,,,Art; Barb Wire/Fences/Walls; Community; Viv Swayne,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/a466602a-85ca-46d9-a54b-3332ec749910.jpg,https://abnow.s3.amazonaws.com/objects/small/a466602a-85ca-46d9-a54b-3332ec749910_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/a466602a-85ca-46d9-a54b-3332ec749910_th.jpg
3446c038-b331-4ccd-9497-5a55ff5f88e5,,,,,,,3446c038-b331-4ccd-9497-5a55ff5f88e5.jpg,aaaaaaaaaaaaaaa,,,,Protests/Marches,Sweden,2010s,Pride,,,,,,,,,,,2010s; Pride; Protests/Marches; Sweden,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/3446c038-b331-4ccd-9497-5a55ff5f88e5.jpg,https://abnow.s3.amazonaws.com/objects/small/3446c038-b331-4ccd-9497-5a55ff5f88e5_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/3446c038-b331-4ccd-9497-5a55ff5f88e5_th.jpg
87e7794c-156f-4484-8987-9b0b6e8b52b1,,,,,,,87e7794c-156f-4484-8987-9b0b6e8b52b1.jpg,aaaaaaaaaaaaaaaaaaaaa,,,,Protests/Marches,Police Imagery,Carceral Imagery,Sweden,Pride,,,,,,,,,,Carceral Imagery; Police Imagery; Pride; Protests/Marches; Sweden,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/87e7794c-156f-4484-8987-9b0b6e8b52b1.jpg,https://abnow.s3.amazonaws.com/objects/small/87e7794c-156f-4484-8987-9b0b6e8b52b1_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/87e7794c-156f-4484-8987-9b0b6e8b52b1_th.jpg
91106144-2710-4a9a-a3bc-23e41bd42447,,,,,,,91106144-2710-4a9a-a3bc-23e41bd42447.jpg,Angie (002),,,,Community,Slogans,Viv Swayne,Art,,,,,,,,,,,Art; Community; Slogans; Viv Swayne,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/91106144-2710-4a9a-a3bc-23e41bd42447.jpg,https://abnow.s3.amazonaws.com/objects/small/91106144-2710-4a9a-a3bc-23e41bd42447_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/91106144-2710-4a9a-a3bc-23e41bd42447_th.jpg
d034725a-b8ed-4349-8565-4319e0c03fe2,,,,,,,d034725a-b8ed-4349-8565-4319e0c03fe2.jpg,BLM-MLK-080,,,,Knoxville,Community,Slogans,BLM,2020s,Art,,,,,,,,,2020s; Art; BLM; Community; Knoxville; Slogans,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/d034725a-b8ed-4349-8565-4319e0c03fe2.jpg,https://abnow.s3.amazonaws.com/objects/small/d034725a-b8ed-4349-8565-4319e0c03fe2_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/d034725a-b8ed-4349-8565-4319e0c03fe2_th.jpg
da7e60f7-f682-40af-9275-4238875729d7,,,,,,,da7e60f7-f682-40af-9275-4238875729d7.jpg,BLM-MLK-076,,,,Protests/Marches,Knoxville,Slogans,BLM,2020s,Art,,,,,,,,,2020s; Art; BLM; Knoxville; Protests/Marches; Slogans,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/da7e60f7-f682-40af-9275-4238875729d7.jpg,https://abnow.s3.amazonaws.com/objects/small/da7e60f7-f682-40af-9275-4238875729d7_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/da7e60f7-f682-40af-9275-4238875729d7_th.jpg
b6682ccb-e4a9-4b9b-b559-7b66f230b291,,,,,,,b6682ccb-e4a9-4b9b-b559-7b66f230b291.jpg,BLM-MLK-088,,,,Protests/Marches,Knoxville,Slogans,BLM,2020s,Art,,,,,,,,,2020s; Art; BLM; Knoxville; Protests/Marches; Slogans,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/b6682ccb-e4a9-4b9b-b559-7b66f230b291.jpg,https://abnow.s3.amazonaws.com/objects/small/b6682ccb-e4a9-4b9b-b559-7b66f230b291_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/b6682ccb-e4a9-4b9b-b559-7b66f230b291_th.jpg
e9da58c8-bdb3-4b7b-bbe2-8dc0b0b03f16,,,,,,,e9da58c8-bdb3-4b7b-bbe2-8dc0b0b03f16.jpg,Day of OUtrage,,,,Knoxville,Events,Slogans,2010s,BLM,Police Violence,,,,,,,,,2010s; BLM; Events; Knoxville; Police Violence; Slogans,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/e9da58c8-bdb3-4b7b-bbe2-8dc0b0b03f16.jpg,https://abnow.s3.amazonaws.com/objects/small/e9da58c8-bdb3-4b7b-bbe2-8dc0b0b03f16_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/e9da58c8-bdb3-4b7b-bbe2-8dc0b0b03f16_th.jpg
